building_id,building_name,building_type,department,building_area_sqm,sustainability_rating
1,Building_1,Residential,Arts,2246.7,Excellent
2,Building_2,Administrative,Engineering,1884.26,Poor
3,Building_3,Laboratory,Business,4399.68,Poor
4,Building_4,Administrative,Engineering,4282.25,Excellent
5,Building_5,Laboratory,Arts,3202.05,Excellent
6,Building_6,Laboratory,Business,2371.57,Poor
7,Building_7,Laboratory,Engineering,4587.72,Excellent
8,Building_8,Administrative,Arts,1462.14,Fair
9,Building_9,Academic,Business,3564.5,Good
10,Building_10,Residential,Engineering,4447.48,Good
11,Building_11,Administrative,Arts,4412.02,Excellent
12,Building_12,Residential,Engineering,4010.24,Excellent
13,Building_13,Academic,Science,700.51,Poor
14,Building_14,Administrative,Arts,1054.37,Excellent
15,Building_15,Residential,Engineering,3226.38,Good
16,Building_16,Residential,Science,2092.85,Excellent
17,Building_17,Laboratory,Arts,3576.22,Fair
18,Building_18,Academic,Arts,2431.05,Excellent
19,Building_19,Administrative,Engineering,2732.84,Excellent
20,Building_20,Academic,Engineering,1297.79,Excellent
21,Building_21,Administrative,Arts,3493.05,Fair
22,Building_22,Residential,Business,1685.88,Good
23,Building_23,Academic,Business,579.65,Poor
24,Building_24,Laboratory,Business,736.49,Excellent
25,Building_25,Academic,Arts,1054.18,Excellent
26,Building_26,Residential,Engineering,1143.29,Excellent
27,Building_27,Residential,Engineering,2712.05,Good
28,Building_28,Residential,Science,1966.29,Poor
29,Building_29,Residential,Business,4888.06,Fair
30,Building_30,Laboratory,Business,4679.76,Good
31,Building_31,Laboratory,Arts,2067.0,Excellent
32,Building_32,Residential,Business,4392.14,Fair
33,Building_33,Academic,Arts,2744.31,Fair
34,Building_34,Laboratory,Science,4340.47,Fair
35,Building_35,Administrative,Arts,3157.12,Fair
36,Building_36,Academic,Arts,972.6,Excellent
37,Building_37,Academic,Arts,4621.39,Excellent
38,Building_38,Residential,Engineering,2916.29,Fair
39,Building_39,Academic,Business,4887.82,Poor
40,Building_40,Academic,Engineering,4950.42,Poor
