usage_id,building_id,energy_source,energy_consumption_kwh,water_usage_liters
1,1,Solar,9992.37,37224.45
2,2,Wind,9658.65,9776.94
3,3,Grid,6311.11,7030.58
4,4,Wind,2063.12,31868.81
5,5,Solar,4552.93,36099.64
6,6,Wind,9446.86,48933.01
7,7,Solar,9675.9,28009.29
8,8,Wind,2741.71,10823.14
9,9,Grid,4125.02,31985.3
10,10,Wind,4307.27,38997.56
11,11,Grid,3053.53,46368.59
12,12,Wind,8676.23,41248.16
13,13,Grid,3538.64,16353.08
14,14,Wind,6742.07,11292.88
15,15,Solar,7956.34,19132.96
16,16,Grid,5072.11,39784.9
17,17,Solar,9148.1,44175.29
18,18,Wind,6274.01,18535.89
19,19,Grid,1102.09,5566.49
20,20,Grid,8132.45,13177.39
21,21,Wind,8554.55,6759.69
22,22,Wind,4317.85,32685.84
23,23,Grid,1651.06,49018.35
24,24,Wind,2174.78,11543.2
25,25,Wind,7462.14,47593.99
26,26,Solar,3724.67,33961.26
27,27,Solar,6420.61,29395.11
28,28,Grid,9447.66,26125.57
29,29,Solar,8258.37,6429.37
30,30,Grid,5962.11,33328.76
31,31,Solar,4206.74,40264.92
32,32,Solar,4335.58,47273.52
33,33,Grid,1591.49,40169.67
34,34,Grid,5831.13,12479.35
35,35,Wind,5557.74,38741.71
36,36,Grid,7097.33,20578.27
37,37,Wind,8710.43,40515.55
38,38,Wind,6278.2,46547.88
39,39,Wind,5156.27,8785.18
40,40,Wind,7284.88,13441.35
