building_id,log_date,temperature_celsius,occupancy_level,air_quality_index
1,2025-01-01,20.64,Low,61
1,2025-01-02,26.09,Low,90
1,2025-01-03,23.34,Medium,149
1,2025-01-04,16.02,Low,111
1,2025-01-05,19.64,Medium,76
1,2025-01-06,23.74,High,130
1,2025-01-07,27.55,Medium,71
1,2025-01-08,16.93,High,104
1,2025-01-09,15.4,Low,108
1,2025-01-10,16.16,High,95
1,2025-01-11,29.36,High,99
1,2025-01-12,28.82,Medium,116
1,2025-01-13,20.13,High,141
1,2025-01-14,21.6,Low,148
1,2025-01-15,18.98,Medium,90
1,2025-01-16,23.97,Low,117
1,2025-01-17,26.21,Medium,128
1,2025-01-18,18.15,High,96
1,2025-01-19,15.17,Medium,145
1,2025-01-20,16.17,Low,119
1,2025-01-21,17.11,Medium,142
1,2025-01-22,27.66,Low,84
1,2025-01-23,28.12,High,97
1,2025-01-24,24.48,Medium,78
1,2025-01-25,17.13,High,58
1,2025-01-26,20.46,Low,131
1,2025-01-27,20.43,High,119
1,2025-01-28,22.65,High,78
1,2025-01-29,22.64,Medium,150
1,2025-01-30,29.36,Medium,87
2,2025-01-01,25.48,High,64
2,2025-01-02,23.95,Medium,124
2,2025-01-03,22.66,High,120
2,2025-01-04,19.36,Medium,120
2,2025-01-05,16.91,Low,71
2,2025-01-06,19.26,Low,135
2,2025-01-07,25.38,Medium,85
2,2025-01-08,15.08,High,112
2,2025-01-09,27.75,Low,118
2,2025-01-10,23.28,Medium,81
2,2025-01-11,27.14,Medium,144
2,2025-01-12,27.32,Medium,108
2,2025-01-13,16.25,High,118
2,2025-01-14,22.8,High,80
2,2025-01-15,21.27,Medium,123
2,2025-01-16,23.32,High,122
2,2025-01-17,28.15,High,109
2,2025-01-18,26.73,High,111
2,2025-01-19,23.26,High,134
2,2025-01-20,25.68,Medium,128
2,2025-01-21,18.29,High,125
2,2025-01-22,18.21,Low,99
2,2025-01-23,22.58,Medium,113
2,2025-01-24,21.97,Low,126
2,2025-01-25,15.99,Medium,144
2,2025-01-26,21.42,Medium,109
2,2025-01-27,25.38,Low,150
2,2025-01-28,20.32,Low,134
2,2025-01-29,17.31,Low,79
2,2025-01-30,23.12,Medium,55
3,2025-01-01,26.33,Low,109
3,2025-01-02,19.52,High,61
3,2025-01-03,21.39,Medium,111
3,2025-01-04,28.58,Medium,112
